file,species,histogram1,histogram2,histogram3,histogram4,histogram5,histogram6,histogram7,histogram8,histogram9,histogram10,histogram11,histogram12,histogram13,histogram14,histogram15,histogram16,histogram17,histogram18,histogram19,histogram20,histogram21,histogram22,histogram23,histogram24,histogram25,histogram26,histogram27,histogram28,histogram29,histogram30,histogram31,histogram32,histogram33,histogram34,histogram35,histogram36,histogram37,histogram38,histogram39,histogram40,histogram41,histogram42,histogram43,histogram44,histogram45,histogram46,histogram47,histogram48,histogram49,histogram50,histogram51,histogram52,histogram53,histogram54,histogram55,histogram56,histogram57,histogram58,histogram59
B1 (10),Buff,0.34329,0.070177,0.021896,0.045615,0.026562,0.071116,0.022452,0.045496,0.026171,0.020423,0.021238,0.022246,0.021637,0.021478,0.020599,0.021462,0.021262,0.019989,0.020722,0.019987,0.012573,0.020625,0.019527,0.019109,0.011638,0.025469,0.023085,0.014002,0.013445,0.024407,0.021572,0.012343,0.01314,0.025978,0.01974,0.015657,0.019718,0.024102,0.018194,0.014034,0.018592,0.024433,0.025136,0.024248,0.02261,0.022667,0.023836,0.022832,0.023045,0.030178,0.06677,0.026083,0.040727,0.029075,0.063611,0.025666,0.041674,0.3388,0.84793
B1 (11),Buff,0.3398,0.074063,0.025243,0.044349,0.023437,0.074364,0.025103,0.044287,0.023319,0.022879,0.021923,0.023065,0.023882,0.023565,0.021884,0.022634,0.023469,0.019988,0.021155,0.02391,0.014524,0.020138,0.020803,0.023879,0.013469,0.022606,0.027726,0.017641,0.013856,0.021385,0.026431,0.016843,0.013634,0.025213,0.023572,0.018034,0.018643,0.024574,0.022443,0.016853,0.018847,0.024899,0.026899,0.026896,0.023915,0.024214,0.026584,0.025612,0.023105,0.026764,0.066903,0.030251,0.042077,0.026787,0.065873,0.029648,0.042075,0.33887,0.8469
B1 (13),Buff,0.34875,0.05804,0.023783,0.054405,0.021917,0.05882,0.023819,0.053585,0.021232,0.017115,0.017337,0.01817,0.018628,0.017267,0.016808,0.016694,0.017898,0.013005,0.01083,0.017627,0.0129,0.01249,0.0097724,0.016598,0.012086,0.0097031,0.012926,0.016615,0.011442,0.0091296,0.011976,0.016023,0.011227,0.011758,0.017308,0.015054,0.012029,0.010591,0.016205,0.014342,0.011958,0.019049,0.019858,0.018463,0.016872,0.017685,0.019433,0.018226,0.017467,0.024411,0.05261,0.026237,0.052274,0.023541,0.051887,0.027094,0.054236,0.349,0.84778
B1 (15),Buff,0.34591,0.056571,0.021815,0.059377,0.021468,0.055149,0.021625,0.058142,0.021547,0.017091,0.016557,0.017636,0.017041,0.016122,0.016398,0.016599,0.017664,0.013518,0.0097702,0.015057,0.012544,0.012947,0.0094044,0.015117,0.012803,0.010016,0.0105,0.015181,0.01288,0.0090684,0.010009,0.015386,0.013305,0.010745,0.014556,0.015191,0.012657,0.010037,0.013948,0.015239,0.01281,0.017744,0.018534,0.017781,0.016602,0.017282,0.018765,0.018267,0.017493,0.024642,0.048107,0.024285,0.056535,0.02444,0.050088,0.024911,0.057998,0.34616,0.85027
B1 (16),Buff,0.3463,0.057009,0.022303,0.061022,0.022538,0.056475,0.02219,0.059945,0.02133,0.018198,0.017787,0.018817,0.018311,0.017427,0.017898,0.017897,0.01838,0.015291,0.010899,0.016946,0.015066,0.014884,0.010111,0.016168,0.014044,0.011017,0.011784,0.017608,0.015877,0.010483,0.011993,0.016121,0.015512,0.012512,0.016095,0.018818,0.014559,0.011962,0.015124,0.017305,0.014863,0.019768,0.02029,0.020037,0.018979,0.018711,0.020571,0.020208,0.019249,0.025869,0.048302,0.025023,0.057377,0.025381,0.049358,0.025736,0.059062,0.34289,0.84959
B1 (17),Buff,0.34465,0.05533,0.024022,0.062658,0.022669,0.054311,0.024088,0.061682,0.021581,0.018686,0.019144,0.019459,0.01882,0.018828,0.01897,0.018871,0.018774,0.016116,0.011874,0.018368,0.016129,0.016539,0.010917,0.017697,0.015739,0.011656,0.013585,0.019434,0.017987,0.01131,0.013181,0.018323,0.016834,0.013271,0.016989,0.019866,0.016168,0.012309,0.016124,0.018682,0.015535,0.021247,0.02073,0.021171,0.02031,0.019638,0.020378,0.021083,0.02096,0.026148,0.047033,0.026543,0.058246,0.025847,0.047838,0.027211,0.060938,0.34387,0.84875
B1 (18),Buff,0.34301,0.04963,0.024581,0.067848,0.022262,0.049639,0.023603,0.066659,0.021814,0.019276,0.018831,0.019387,0.018784,0.018804,0.018719,0.019262,0.018869,0.016809,0.010461,0.018555,0.017298,0.016808,0.0098073,0.017343,0.017621,0.010878,0.011765,0.021271,0.020102,0.010795,0.01109,0.020961,0.020037,0.011859,0.016812,0.021406,0.016362,0.011544,0.01549,0.021482,0.016071,0.020615,0.02013,0.019843,0.020179,0.019347,0.019438,0.020385,0.020733,0.026167,0.044631,0.025571,0.062928,0.024851,0.044656,0.026971,0.066012,0.34309,0.84909
B1 (19),Buff,0.34164,0.049188,0.022904,0.071526,0.024125,0.048316,0.021422,0.069613,0.0233,0.020378,0.020578,0.019897,0.019931,0.019274,0.01873,0.019793,0.019753,0.019908,0.01056,0.017724,0.019507,0.018774,0.0097284,0.017404,0.020517,0.012303,0.010836,0.021346,0.024528,0.011479,0.010251,0.02183,0.024798,0.01273,0.016743,0.024579,0.018145,0.01178,0.016099,0.025101,0.019095,0.0224,0.021709,0.021301,0.021302,0.021552,0.02158,0.022316,0.022876,0.027993,0.042667,0.023963,0.064111,0.027652,0.04347,0.026228,0.067447,0.33814,0.84981
B1 (2),Buff,0.34289,0.068705,0.024582,0.047577,0.022134,0.071773,0.024269,0.046327,0.021231,0.018783,0.020739,0.022251,0.02033,0.018915,0.019003,0.020561,0.019036,0.016902,0.021395,0.023184,0.010915,0.016064,0.01938,0.021229,0.010649,0.020312,0.029023,0.014569,0.010878,0.018967,0.026838,0.013947,0.011496,0.027205,0.022098,0.014312,0.014787,0.024666,0.019957,0.01406,0.015927,0.024507,0.023861,0.022183,0.02092,0.02202,0.02286,0.022617,0.023038,0.025803,0.064732,0.027958,0.040805,0.024097,0.064295,0.029087,0.043458,0.33505,0.85027
B1 (21),Buff,0.34687,0.052045,0.021663,0.067838,0.028684,0.049888,0.019799,0.064013,0.028701,0.023354,0.022474,0.021194,0.020943,0.021872,0.020356,0.020186,0.021757,0.028019,0.012232,0.016553,0.020833,0.025759,0.011708,0.017124,0.021333,0.017156,0.01199,0.018578,0.03494,0.017067,0.011581,0.019201,0.037067,0.016716,0.015839,0.027501,0.025486,0.015966,0.015982,0.028939,0.027861,0.025502,0.024718,0.024963,0.024289,0.024207,0.024823,0.026846,0.026885,0.034141,0.042599,0.023186,0.0577,0.033468,0.044085,0.024911,0.062124,0.33458,0.84657
