file,species,histogram1,histogram2,histogram3,histogram4,histogram5,histogram6,histogram7,histogram8,histogram9,histogram10,histogram11,histogram12,histogram13,histogram14,histogram15,histogram16,histogram17,histogram18,histogram19,histogram20,histogram21,histogram22,histogram23,histogram24,histogram25,histogram26,histogram27,histogram28,histogram29,histogram30,histogram31,histogram32,histogram33,histogram34,histogram35,histogram36,histogram37,histogram38,histogram39,histogram40,histogram41,histogram42,histogram43,histogram44,histogram45,histogram46,histogram47,histogram48,histogram49,histogram50,histogram51,histogram52,histogram53,histogram54,histogram55,histogram56,histogram57,histogram58,histogram59
B1 (10),Buff,0.28665,0.044756,0.023278,0.039752,0.024017,0.045347,0.024287,0.039558,0.024052,0.010871,0.012041,0.011188,0.011167,0.011005,0.012764,0.011357,0.011193,0.0076278,0.0083625,0.0075571,0.0054871,0.007726,0.008836,0.0077948,0.0051345,0.00828,0.0086302,0.0051608,0.0053162,0.0087218,0.00853,0.0050247,0.0050011,0.010536,0.0079041,0.006113,0.0076952,0.010449,0.0074579,0.0055946,0.0073688,0.012424,0.012226,0.011632,0.013413,0.01262,0.011375,0.01083,0.012517,0.025983,0.044205,0.027038,0.035812,0.026225,0.043227,0.025585,0.035202,0.28172,0.90349
B1 (11),Buff,0.28282,0.043526,0.024873,0.039215,0.023419,0.044363,0.025337,0.039408,0.023405,0.011107,0.011674,0.012027,0.011511,0.011665,0.012099,0.01264,0.011159,0.0068425,0.0082463,0.008703,0.0060083,0.0072065,0.008468,0.0089935,0.0058498,0.007239,0.0090938,0.0063599,0.0055386,0.0074491,0.0096044,0.0063997,0.0050424,0.0094057,0.009131,0.0070127,0.0071231,0.0098371,0.0091509,0.0067586,0.006866,0.013814,0.012144,0.012361,0.01271,0.013807,0.012274,0.01139,0.011699,0.025003,0.040571,0.029244,0.036879,0.025407,0.039709,0.028337,0.036527,0.28037,0.90524
B1 (13),Buff,0.29999,0.040545,0.024653,0.044777,0.021986,0.041059,0.024559,0.04395,0.021466,0.010374,0.010215,0.010499,0.011135,0.010341,0.0096364,0.010089,0.011107,0.0056275,0.0050737,0.0076836,0.0063014,0.0053989,0.0047183,0.0076857,0.0063072,0.0038638,0.0058043,0.0075486,0.0050276,0.0038342,0.0054144,0.0072182,0.0051005,0.0054458,0.0085176,0.0073957,0.0054338,0.0051427,0.0080646,0.0069647,0.0054211,0.010905,0.012412,0.010396,0.010299,0.010757,0.012447,0.010644,0.010354,0.023774,0.037541,0.026799,0.042314,0.023542,0.03746,0.027497,0.0439,0.29761,0.8945
B1 (15),Buff,0.29847,0.04242,0.023504,0.045159,0.021175,0.041651,0.022831,0.04469,0.022149,0.010534,0.010129,0.0098991,0.010386,0.0097583,0.0099445,0.010161,0.01089,0.0062221,0.0046318,0.0068076,0.0061854,0.0060493,0.0045597,0.0071358,0.0067375,0.0041296,0.004755,0.0065836,0.0054983,0.0039609,0.0046152,0.0067969,0.0058726,0.0051771,0.007045,0.00708,0.0056348,0.0050708,0.0071398,0.0076774,0.0062991,0.010164,0.01129,0.010305,0.0097667,0.010166,0.011671,0.011514,0.010611,0.023108,0.037334,0.024553,0.043197,0.024361,0.039582,0.026164,0.044642,0.29589,0.89551
B1 (16),Buff,0.29459,0.042729,0.023476,0.045267,0.0219,0.041585,0.022895,0.04562,0.022555,0.010874,0.010456,0.010649,0.011091,0.01056,0.010555,0.010901,0.011256,0.0066074,0.0050765,0.0073165,0.0069086,0.0063778,0.0050008,0.0073864,0.0071444,0.0044941,0.0049111,0.0074251,0.0061528,0.0045408,0.0046519,0.0072069,0.0064637,0.0053519,0.0070856,0.0079407,0.0065099,0.0054565,0.0072427,0.0086428,0.0066893,0.010717,0.011592,0.010903,0.010485,0.010822,0.012199,0.011914,0.011023,0.024258,0.036787,0.024984,0.044171,0.024858,0.038234,0.025697,0.044483,0.29071,0.89821
B1 (17),Buff,0.29328,0.041296,0.024818,0.044955,0.022689,0.040251,0.024084,0.045474,0.023264,0.011674,0.010808,0.011197,0.011219,0.011564,0.01081,0.011632,0.011601,0.0072344,0.005211,0.0076768,0.0076015,0.0069322,0.0054852,0.0078544,0.0076702,0.0048821,0.0051232,0.0075827,0.0073193,0.0050582,0.0050655,0.0074494,0.0071709,0.0057053,0.0071976,0.0088263,0.0068775,0.0061117,0.0072341,0.0092037,0.0071956,0.011279,0.011544,0.011906,0.011554,0.011436,0.012235,0.012673,0.011513,0.024632,0.036419,0.024983,0.044476,0.025807,0.037967,0.026509,0.044703,0.29002,0.89865
B1 (18),Buff,0.29073,0.039368,0.024489,0.047035,0.023019,0.038937,0.023927,0.047864,0.023709,0.012077,0.011341,0.010979,0.01166,0.011377,0.010946,0.011414,0.012036,0.0076236,0.0049877,0.007537,0.0083273,0.0074855,0.0050178,0.0080138,0.009306,0.0049688,0.0049196,0.0082645,0.0081128,0.0050769,0.0049344,0.0087508,0.0084209,0.0055308,0.0071006,0.0095708,0.007305,0.0058481,0.0075407,0.010526,0.0076471,0.011196,0.012059,0.0117,0.011252,0.011429,0.012764,0.012916,0.011759,0.02477,0.035951,0.02437,0.045899,0.025253,0.037618,0.026142,0.046048,0.29145,0.89874
B1 (19),Buff,0.2888,0.039045,0.023562,0.048979,0.022847,0.03753,0.022088,0.048459,0.024476,0.012916,0.01132,0.010739,0.011338,0.011558,0.010222,0.010718,0.012598,0.0085841,0.0050446,0.007255,0.0089023,0.0077736,0.0046974,0.0075014,0.0099326,0.0052416,0.0046338,0.008209,0.0087681,0.0049789,0.0044854,0.0087731,0.0096482,0.0057629,0.0068895,0.010186,0.0075705,0.0052989,0.0071711,0.011426,0.0086787,0.011859,0.011787,0.012024,0.010834,0.011545,0.012834,0.014,0.012109,0.025146,0.033497,0.02339,0.04577,0.026135,0.036004,0.025967,0.047539,0.28523,0.90136
B1 (2),Buff,0.28885,0.047305,0.025965,0.039861,0.022092,0.047927,0.02463,0.038996,0.021017,0.011521,0.012234,0.013916,0.011904,0.0116,0.011078,0.012708,0.011331,0.007443,0.010393,0.010496,0.0059098,0.0067263,0.0090358,0.0091841,0.0056617,0.0085723,0.011926,0.0065787,0.0045524,0.007918,0.010591,0.0065538,0.004777,0.012327,0.010314,0.0065875,0.0067668,0.010848,0.0092968,0.0064797,0.0073952,0.015078,0.012726,0.012036,0.011782,0.013843,0.012156,0.012334,0.012947,0.024511,0.045266,0.027428,0.033644,0.022829,0.043952,0.029136,0.036631,0.28316,0.90174
B1 (21),Buff,0.28759,0.039144,0.023009,0.04843,0.027035,0.036559,0.020546,0.045957,0.028821,0.016276,0.013039,0.012498,0.011491,0.014305,0.01074,0.012261,0.012799,0.012704,0.006007,0.0066982,0.010844,0.010672,0.005743,0.0074066,0.011585,0.0083321,0.0045345,0.0079367,0.014131,0.0074415,0.0047426,0.0085196,0.01556,0.0070869,0.0066484,0.011978,0.010691,0.0066236,0.0069471,0.013245,0.012792,0.013078,0.012092,0.014696,0.011964,0.012628,0.013461,0.017464,0.0143,0.031066,0.031247,0.022285,0.040774,0.032715,0.033922,0.025491,0.045331,0.28146,0.90227
