file,species,histogram1,histogram2,histogram3,histogram4,histogram5,histogram6,histogram7,histogram8,histogram9,histogram10,histogram11,histogram12,histogram13,histogram14,histogram15,histogram16,histogram17,histogram18,histogram19,histogram20,histogram21,histogram22,histogram23,histogram24,histogram25,histogram26,histogram27,histogram28,histogram29,histogram30,histogram31,histogram32,histogram33,histogram34,histogram35,histogram36,histogram37,histogram38,histogram39,histogram40,histogram41,histogram42,histogram43,histogram44,histogram45,histogram46,histogram47,histogram48,histogram49,histogram50,histogram51,histogram52,histogram53,histogram54,histogram55,histogram56,histogram57,histogram58,histogram59
B1 (10),Buff,0.37206,0.11223,0.010113,0.089491,0.011881,0.11247,0.010592,0.089324,0.011497,0.041484,0.043901,0.047751,0.044083,0.04235,0.044878,0.045021,0.043641,0.071417,0.053123,0.067264,0.033444,0.070809,0.051546,0.0646,0.031871,0.083359,0.071139,0.043238,0.045798,0.080379,0.068284,0.040761,0.044186,0.07072,0.062987,0.047184,0.065852,0.068348,0.059692,0.044443,0.064777,0.053308,0.051396,0.050272,0.049934,0.050764,0.050181,0.047802,0.04964,0.01542,0.1095,0.013285,0.084682,0.014309,0.1063,0.01289,0.085963,0.38048,0.71653
B1 (11),Buff,0.3638,0.11749,0.010904,0.086607,0.011007,0.11921,0.010972,0.085923,0.010557,0.044764,0.045302,0.047075,0.045936,0.045051,0.045262,0.045933,0.045162,0.069482,0.05596,0.077531,0.036378,0.070183,0.054771,0.078446,0.036102,0.077061,0.08738,0.051798,0.045477,0.075859,0.086694,0.051136,0.044755,0.074432,0.071869,0.051488,0.063476,0.071877,0.070404,0.049494,0.063222,0.05316,0.053237,0.053254,0.051305,0.050981,0.052051,0.052196,0.050592,0.013972,0.11186,0.014734,0.083757,0.013547,0.11031,0.014456,0.083638,0.37789,0.70909
B1 (13),Buff,0.38726,0.096507,0.012266,0.098912,0.01254,0.096316,0.012517,0.096603,0.011589,0.038292,0.040603,0.042499,0.040394,0.038041,0.040064,0.040452,0.038792,0.050975,0.033744,0.060945,0.034442,0.050052,0.032739,0.058888,0.03319,0.041064,0.047422,0.048481,0.04059,0.038799,0.046079,0.04758,0.03964,0.041165,0.054481,0.04326,0.044971,0.038953,0.052483,0.041257,0.045157,0.044616,0.044167,0.042725,0.041597,0.042356,0.042716,0.041639,0.042712,0.014355,0.09016,0.014289,0.098655,0.013804,0.090214,0.014673,0.1013,0.39859,0.73457
B1 (15),Buff,0.38516,0.089851,0.01151,0.1127,0.012237,0.087383,0.011784,0.11005,0.011496,0.036739,0.041527,0.042082,0.036939,0.036427,0.040457,0.041601,0.037267,0.053464,0.031888,0.055683,0.034375,0.052791,0.03085,0.055511,0.035158,0.04019,0.040167,0.051126,0.04789,0.038061,0.040603,0.050072,0.048075,0.039407,0.050775,0.046202,0.046692,0.038021,0.049027,0.045875,0.04793,0.044954,0.040964,0.04026,0.043277,0.044073,0.041516,0.040548,0.044186,0.014411,0.080704,0.01369,0.11312,0.013618,0.081952,0.013813,0.11459,0.39545,0.73387
B1 (16),Buff,0.38412,0.088498,0.011465,0.11569,0.011801,0.08712,0.011467,0.11338,0.011241,0.037763,0.043356,0.043843,0.03759,0.036663,0.041155,0.04197,0.037525,0.057174,0.033429,0.059668,0.037682,0.056639,0.032631,0.057929,0.035637,0.043078,0.044238,0.055783,0.054758,0.040816,0.045768,0.054919,0.053229,0.043378,0.054534,0.05177,0.051703,0.042289,0.053055,0.049381,0.052311,0.047939,0.042881,0.042731,0.046175,0.046016,0.043473,0.043021,0.047023,0.014427,0.079801,0.013738,0.11551,0.013989,0.080204,0.014415,0.11675,0.38836,0.72943
B1 (17),Buff,0.38045,0.084929,0.012067,0.12147,0.011578,0.085007,0.011635,0.1176,0.01146,0.038082,0.044835,0.044477,0.037969,0.038399,0.043961,0.043086,0.037572,0.059292,0.033787,0.064785,0.040115,0.058652,0.033976,0.063732,0.038063,0.042758,0.048972,0.062669,0.059804,0.042035,0.048838,0.060602,0.05775,0.043934,0.059017,0.054646,0.053504,0.042684,0.057435,0.051819,0.053982,0.0498,0.043441,0.043774,0.048406,0.047383,0.041893,0.04397,0.049829,0.014424,0.077168,0.014798,0.11928,0.013874,0.078682,0.015148,0.12203,0.38733,0.72354
B1 (18),Buff,0.37776,0.07545,0.011994,0.13244,0.011886,0.07631,0.01173,0.12884,0.011131,0.037164,0.044133,0.044659,0.03705,0.036909,0.04334,0.042885,0.036345,0.059981,0.030634,0.062364,0.041908,0.059096,0.030647,0.06219,0.041266,0.038721,0.041232,0.068688,0.065691,0.03802,0.040287,0.068835,0.064173,0.038822,0.056562,0.056617,0.052962,0.03853,0.054875,0.055873,0.053536,0.049503,0.040719,0.04112,0.047639,0.04636,0.039715,0.040592,0.050429,0.014553,0.069479,0.014975,0.12832,0.01381,0.070162,0.015132,0.13321,0.38855,0.72158
B1 (19),Buff,0.37439,0.07361,0.011477,0.13727,0.011806,0.073922,0.010856,0.13285,0.011635,0.037152,0.04596,0.046709,0.037369,0.036844,0.043685,0.045379,0.03757,0.067071,0.031371,0.061753,0.045399,0.065317,0.030403,0.060646,0.046509,0.043221,0.040075,0.06872,0.07666,0.042286,0.037992,0.071328,0.079034,0.041686,0.057346,0.063429,0.061187,0.040471,0.055741,0.064157,0.061549,0.053545,0.043507,0.041975,0.050045,0.050541,0.042597,0.042465,0.053408,0.014998,0.066909,0.013721,0.13262,0.014688,0.067258,0.01449,0.13602,0.38115,0.71582
B1 (2),Buff,0.37894,0.11182,0.012274,0.089533,0.010867,0.11447,0.0115,0.08931,0.010533,0.039828,0.043166,0.045528,0.042182,0.040281,0.041472,0.04354,0.039734,0.058517,0.051675,0.071485,0.029796,0.057244,0.048091,0.067131,0.030088,0.066088,0.084537,0.045316,0.038648,0.062992,0.079793,0.044719,0.040244,0.070669,0.066891,0.04438,0.053508,0.066896,0.063578,0.044069,0.055346,0.050751,0.048953,0.047506,0.04712,0.047511,0.047321,0.047813,0.050234,0.014605,0.10948,0.01454,0.08428,0.013914,0.10817,0.014779,0.087464,0.37839,0.72044
B1 (21),Buff,0.37762,0.080776,0.011272,0.12547,0.012792,0.079282,0.010251,0.12039,0.012214,0.040888,0.047503,0.04557,0.040053,0.039264,0.044261,0.043539,0.040908,0.083069,0.034396,0.057072,0.044576,0.08003,0.033961,0.057234,0.04634,0.05653,0.041884,0.057937,0.092079,0.056576,0.041688,0.05817,0.09544,0.050249,0.056161,0.067516,0.077404,0.048036,0.054946,0.069675,0.080788,0.055761,0.048214,0.045356,0.052342,0.053435,0.048694,0.047124,0.056854,0.016625,0.071716,0.01347,0.11788,0.016767,0.071783,0.014125,0.12124,0.37105,0.71222
