B1 (10),Buff,739.8259,34.00446,31.09536,29.13679,26.15773,24.33891,22.6897,21.74255,21.11948,20.4341,19.89365,19.44413,18.92014,17.62058,17.00324,16.27061,16.00964,15.7455,15.37684,14.73249,14.50164,14.46068,14.41916,14.10036,13.70517,13.33715,13.28565,13.00997,12.96141,12.81744,12.66419,12.57293,12.47533,12.40675,12.20656,12.17943,11.9529,11.85997,11.74881,11.58431,11.50006,11.39958,11.28617,11.19418,11.14311,11.07712,10.9902,10.86891,10.84157,10.76423
B1 (11),Buff,757.0466,27.98405,26.20946,24.53723,22.55965,21.16645,20.84319,20.35286,19.34732,18.60343,18.13529,17.94161,16.79661,16.46942,16.11644,15.63657,15.44824,15.15819,14.79749,14.44738,13.93756,13.74066,13.50802,13.13916,13.10857,13.05403,12.5453,12.536,12.46063,12.27829,12.18328,12.07819,11.92336,11.80551,11.6308,11.48801,11.39138,11.31372,11.24231,11.22805,11.11199,10.98688,10.89186,10.84866,10.74067,10.67475,10.65836,10.56697,10.471,10.40371
B1 (13),Buff,682.4707,28.93582,23.64971,22.73261,21.21602,20.81675,20.02896,18.9428,18.80789,17.94543,17.75582,16.74503,16.20541,15.96416,15.46785,15.1332,14.84563,14.81313,14.59057,14.43395,14.15998,13.87931,13.77666,13.6833,13.54892,13.37413,13.18518,13.10608,13.03806,12.86763,12.78465,12.70626,12.67035,12.50051,12.44473,12.36291,12.34642,12.168,12.07951,11.99641,11.9017,11.88432,11.83012,11.64385,11.60187,11.56644,11.47544,11.43747,11.38301,11.33906
B1 (15),Buff,702.5653,28.43993,24.70495,22.06077,20.94263,20.78065,19.68827,18.94679,18.04237,17.50306,17.07445,16.32541,15.62815,15.47342,15.23151,14.81124,14.4165,14.30368,13.75345,13.56447,13.47797,13.14441,13.02616,12.90768,12.77772,12.58479,12.3393,12.29269,12.17029,12.13628,12.03441,11.98338,11.78276,11.73115,11.59758,11.52253,11.49507,11.39971,11.30727,11.21163,11.16489,11.09753,10.97386,10.93102,10.90236,10.80811,10.74667,10.64631,10.63071,10.59968
B1 (16),Buff,734.1573,31.0814,27.26901,25.24245,22.35962,22.01256,20.31754,19.70343,18.92685,18.41881,17.69929,16.58772,15.91214,15.50886,15.28738,15.10226,14.79092,14.54972,14.13088,13.79833,13.43026,13.16556,12.90801,12.86278,12.64787,12.56645,12.53798,12.40574,12.23743,12.13909,12.05107,11.77141,11.66843,11.56603,11.46231,11.39135,11.26625,11.17689,11.1563,11.0639,11.00914,10.89216,10.8481,10.77473,10.73566,10.64455,10.61481,10.47967,10.37368,10.37048
B1 (17),Buff,738.658,34.66438,29.05267,26.92965,25.77514,23.78469,22.5554,21.52379,19.75952,18.21326,17.56191,17.40258,17.06495,16.19245,15.65967,15.08325,14.79805,14.53102,14.37504,14.07369,13.94905,13.63047,13.44121,13.33215,13.20875,13.00954,12.95591,12.82548,12.64685,12.54354,12.50684,12.29528,12.02869,11.98743,11.80764,11.68579,11.64874,11.51401,11.36763,11.27498,11.19208,11.13699,11.05845,10.99276,10.90781,10.8731,10.84167,10.79611,10.76521,10.68615
B1 (18),Buff,728.9309,32.93028,30.46893,28.999,26.14095,24.88568,22.98982,22.65408,21.78489,20.87636,20.30928,18.65448,18.10693,17.34078,17.09107,16.73936,15.83911,15.31317,14.86798,14.73166,14.35096,13.96892,13.91985,13.78202,13.52748,13.43815,13.31845,13.00077,12.91295,12.76658,12.64092,12.5576,12.31719,12.28056,12.14187,12.07929,11.92172,11.8094,11.72226,11.61962,11.58418,11.53739,11.36883,11.21194,11.08599,11.07704,11.03977,10.95966,10.90112,10.80615
B1 (19),Buff,761.9028,34.0575,31.6064,27.94144,27.63213,25.03392,24.64506,22.06402,21.39383,20.91155,19.84218,19.44403,18.14317,17.78605,17.01268,16.49255,15.97293,15.51975,14.95655,14.87534,14.33303,14.16772,13.96273,13.47089,13.3285,13.19363,12.97193,12.85077,12.68643,12.53573,12.34631,12.27192,12.10457,11.95769,11.81082,11.78582,11.66493,11.64374,11.50208,11.47114,11.37361,11.35947,11.26714,11.07519,10.99528,10.95883,10.87346,10.79379,10.71737,10.65687
B1 (2),Buff,707.3701,28.24919,26.647,24.86534,23.38721,22.31586,21.19071,20.18033,19.70782,19.08022,18.23834,17.62054,17.23729,17.07123,16.94802,16.76018,16.29239,15.7539,15.49796,15.48051,15.12153,14.77371,14.58656,14.43117,14.17771,14.07482,13.78354,13.6879,13.4268,13.24111,13.15035,12.95406,12.86773,12.83207,12.68112,12.62599,12.40434,12.33104,12.22799,12.11779,11.98214,11.8993,11.80741,11.70791,11.70174,11.56975,11.54027,11.46354,11.32499,11.19889
B1 (21),Buff,762.9852,37.00523,31.76495,29.16789,27.06977,25.83169,25.17473,24.61073,24.09408,22.45589,22.18919,21.33178,20.75915,19.84219,19.21725,18.36091,18.26161,17.68595,17.29024,16.36242,16.27334,16.19823,15.81085,15.69325,15.62155,15.35799,15.28163,14.8656,14.75037,14.72379,14.38638,14.10166,14.03066,13.8293,13.68892,13.62915,13.48961,13.29388,13.24003,13.20167,13.03296,12.88716,12.76973,12.62506,12.43221,12.40358,12.25478,12.20768,12.03656,11.98892
